Date,Midwest,Northeast,South,West
3/31/2015,119395.5,173459.2,120098.8252,251534.6379
4/30/2015,119775.9893,173726.38,120549.5788,252957.5057
5/31/2015,120149.9286,173961.15,120998.9513,254539.7011
6/30/2015,120523.2393,174173.9,121451.6418,255972.5057
7/31/2015,120848.6536,174417.63,121905.9312,257435.9368
8/31/2015,121203.0036,174711.87,122342.851,258927.1724
9/30/2015,121529.6036,174995.06,122772.0115,260467.6034
10/31/2015,121869.8393,175225.7,123171.765,261949.477
11/30/2015,122235.2536,175285.76,123545.3668,263272.5575
12/31/2015,122621.6821,175449.35,123765.1886,264723.3218
1/31/2016,123027.225,175662.06,124182.6686,266253.023
2/29/2016,123430.3179,176078.97,124622.1914,267725.4655
3/31/2016,123590.3274,176429.07,125048.6114,269043.9828
4/30/2016,124012.153,176791.15,125499.0486,270398.3161
5/31/2016,124436.21,177102.26,125961.0771,271710.9138
6/30/2016,124872.4591,177441.85,126436.0914,273142.0977
7/31/2016,125342.2883,177763.55,126904.5914,274550.2471
8/31/2016,125828.1673,178105.49,127388.7714,276070.7586
9/30/2016,126342.758,178472.4,127868.9343,277543.1552
10/31/2016,126882.0819,178916.59,128365.3086,279091.7701
11/30/2016,127392.7295,179496.93,128856.8857,280670.3046
12/31/2016,127919.6548,180083.54,129356.4429,282190.9195
1/31/2017,128468.2278,180645.62,129634.6439,283570.1829
2/28/2017,129045.0569,181108.09,130104.7293,285027.7829
3/31/2017,129603.8612,181655.8,130591.9829,286553.6457
4/30/2017,130157.6335,182303.42,131103.8746,288116.1657
5/31/2017,130713.2278,183081.37,131622.9943,289726.7371
6/30/2017,131282.3132,183872.09,132135.3647,291366.1257
7/31/2017,131843.032,184658.26,132666.9544,292956.4686
8/31/2017,132385.5836,185435.98,133199.4416,294646.6629
9/30/2017,132931.3915,186238.47,133742.3618,296479.5086
10/31/2017,133485.3665,187053.39,134294.906,298422.16
11/30/2017,134117.032,187889.84,134885.5641,300355.2857
12/31/2017,134762.8327,188668.28,135481.3447,302398.0229
1/31/2018,135372.4021,189486.67,136009.1875,304475.6171
2/28/2018,135965.2633,190274.09,136564.2244,306585.1257
3/31/2018,136558.8577,191048.36,137184.8187,308612.8857
4/30/2018,137179.8648,191751.62,137768.8159,310629.8686
5/31/2018,137797.6584,192476.79,138376.3314,312663.4629
6/30/2018,138389.9217,193155.63,138987.068,314672.5029
7/31/2018,138951.1673,193871.47,139561.0482,316578.5257
8/31/2018,139485.363,194476.51,140089.1048,317977.0571
9/30/2018,139985.9964,195025.04,140571.8414,319028.2171
10/31/2018,140469.1103,195450.24,141074.9377,319929.4057
11/30/2018,140893.4875,195830.29,141561.864,321010.0629
12/31/2018,141340.5445,196241.95,142081.238,321937.2629
1/31/2019,141836.6548,196689.46,142577.7592,322869.0286
2/28/2019,142387.9039,197181.36,143091.2748,323745.8343
3/31/2019,142981.879,197732.68,143590.4788,324743.6857
4/30/2019,143577.1993,198325.9,144102.2493,325755.6457
5/31/2019,144239.4021,199066.34,144644.8159,327066.4571
6/30/2019,144903.452,199775.25,145214.3144,328511.3429
7/31/2019,145558.8826,200374.19,145779.9717,329791.2571
8/31/2019,146179.9075,200823.26,146342.6006,330830.7314
9/30/2019,146759.4982,201225.03,146839.5014,331792.9943
10/31/2019,147284.0427,201577.93,147260.5071,332657.4114
11/30/2019,147476.3274,201747,147461.8612,333244.6971
12/31/2019,147640.5765,202041.22,147691.4873,334032.4971
1/31/2020,147839.4911,202572.8,148034.0397,335293.36
2/29/2020,148165.6833,203349.25,148456.0368,336791.5771
3/31/2020,148529.6406,204194.54,148899.4306,338371.68
4/30/2020,148939.2456,204985.93,149313.4136,339683.1257
5/31/2020,149533.5429,205770.45,149433.8029,341016.4857
6/30/2020,149975.1352,206698.16,150065.4744,341532.9195
7/31/2020,150509.8007,207902.69,150655.1761,344262.8571
8/31/2020,151151.9146,209447.52,151621.3343,346863.7886
9/30/2020,151903.6797,211235.51,152459.9518,349957.7371
10/31/2020,152766.2562,213315.32,153426.6176,353492.7657
11/30/2020,153963.5943,215763.13,154647.3569,357496.84
12/31/2020,155243.2669,218334.55,155922.4504,361767.2457
1/31/2021,156563.4093,220942.19,157230.1983,366058.9429
2/28/2021,157588.9857,224059.798,158588.4136,370642.84
3/31/2021,159210.3737,226526.64,160063.0878,375629.0343
4/30/2021,160640.4128,229807,161697.5779,381404.6
