Date,Arizona (AZ),Colorado (CO),Idaho (ID),Montana (MT),Nevada (NV),New Mexico (NM),Utah (UT),Wyoming (WY),Alaska (AK),California (CA),Hawaii (HI),Oregon (OR),Washington (WA)
2015-01-31,152.38635393,145.67401025,146.73990514,171.36088345,135.81599204,139.38457906,149.41433688,180.71977658,168.53587986,180.10365272,230.38263771,164.6808498,161.10773682
2015-02-28,153.00599205,146.91816899,147.66089515,171.46599481,136.76526091,139.71213176,150.41532498,180.78071019,168.86650238,181.05399052,231.23209084,165.57862026,162.08563374
2015-03-31,153.68508545,148.06310052,148.63965378,172.32647492,137.6512388,139.8210074,151.18190006,180.87959287,169.18385296,182.16644388,231.63299107,166.55670165,163.32414761
2015-04-30,154.49143333,149.29930141,149.51470152,173.35843011,138.73379166,140.09117799,151.88017248,181.33789133,169.7049388,183.32756319,232.10828619,167.94848691,164.53497602
2015-05-31,155.51007041,150.60964993,150.34102297,174.11311631,140.08780396,140.27735873,152.54517634,182.29372464,170.30513973,184.48056508,232.61415247,169.64126293,165.63018795
2015-06-30,156.45218577,151.93957814,151.06532575,174.63782836,141.26705464,140.74522338,153.52348624,183.43861239,170.95298145,185.59870381,233.77468446,171.35927319,166.82001277
2015-07-31,157.12295528,153.31830269,151.97196215,175.23289477,142.50454989,141.22041333,154.54219384,184.47247741,171.54934171,186.70851053,235.17715829,172.96805992,168.38914836
2015-08-31,158.43372388,154.53898336,153.04471666,175.73363268,143.52498757,141.45697024,155.59086202,184.62471344,172.25222935,187.87890742,236.67089513,174.58694078,170.24272613
2015-09-30,159.72967113,155.64464881,154.20395707,176.1288891,144.8265296,141.7325125,156.81339234,184.13090676,172.84207439,189.01799815,238.09972212,176.13416859,171.95824419
2015-10-31,160.51430658,156.82089991,155.4596414,176.66277808,146.23208627,142.31006932,158.07817573,183.73047852,173.38025017,190.25967889,239.2974096,177.83450727,173.78364917
2015-11-30,161.04043334,157.88080353,156.8387775,177.31600822,147.48441031,143.10055427,159.22032508,183.56143265,173.86866798,191.58613121,240.36528766,179.61154036,175.528601
2015-12-31,161.72674353,158.92577511,157.93507729,178.08878476,148.40493542,143.49266394,160.18850466,183.41852454,174.17654082,192.54850889,241.58723323,181.26431237,177.0904837
2016-01-31,162.55322648,160.14547156,158.7553997,178.69638532,149.3490613,143.44644153,161.10636849,183.65389306,174.21894873,193.38386189,242.94786583,182.63721655,178.62939187
2016-02-29,163.75564681,161.38653699,159.43118152,179.17301019,150.36031512,143.43737328,161.71653006,184.13531589,174.11103984,194.35507972,244.38297894,183.60435456,180.06225285
2016-03-31,165.23313741,162.50894742,160.12695649,179.79931426,151.36782834,143.2651081,162.09312142,184.39303167,173.9736661,195.59350647,245.68823545,184.77968417,181.30879801
2016-04-30,166.12878773,163.91017262,160.77107802,180.28883536,152.19796245,143.99723168,163.31098096,184.46295052,173.8680211,196.53257302,246.92756769,186.88752487,182.63239983
2016-05-31,166.44279374,165.5737967,161.69028109,180.76184957,152.85044089,144.63813103,164.53824969,184.45186329,173.78363536,197.49492089,247.8142429,188.91426635,184.26699735
2016-06-30,166.89199488,167.10974515,163.01152899,181.31776206,153.44179741,145.23043587,165.53068838,184.36789154,173.62042698,198.54942114,248.58118718,190.57955673,185.82365575
2016-07-31,167.49987548,168.22756198,164.46742309,182.24441108,154.77581266,145.72308785,166.65072404,184.64952717,173.36611031,199.40778214,249.68273412,192.07373318,187.27238892
2016-08-31,168.73696689,169.34736961,165.68132834,183.33957284,156.06130244,146.25261414,167.82069347,185.07048468,173.1177281,200.32812088,251.02233166,193.62038208,189.01012431
2016-09-30,169.86986601,170.5244598,166.72793342,184.69648243,157.23229789,146.76420691,168.90569067,185.43910101,172.91385962,201.38725463,252.19934116,195.03421387,190.737041
2016-10-31,171.17098876,171.72908139,167.76402606,186.1096052,158.3052994,147.27055747,169.81653258,185.42100734,173.16170344,202.54350836,253.59386102,196.15799114,192.29386294
2016-11-30,172.41040555,172.99423039,168.9455486,186.95886216,159.46039318,147.94702662,170.6440933,185.13927963,173.59127499,203.81012828,254.83225905,197.35057922,193.87130376
2016-12-31,173.45081516,174.36024816,170.24137731,187.65933546,160.60532042,148.65568753,171.77100019,184.95860206,173.94942918,205.28995608,255.77646187,198.5586199,195.85543239
2017-01-31,174.48035057,175.63784258,171.54492682,188.36622774,161.9192684,148.86137655,173.24682211,185.25566802,174.25973297,207.00338395,256.25722183,200.0012129,197.91404831
2017-02-28,175.28431931,177.09868672,172.71758837,189.0096712,163.18705458,148.97447305,174.66017413,186.11082168,174.67170838,207.75905841,256.91246568,201.45879737,199.84278049
2017-03-31,176.38541126,178.26341303,174.01261675,189.63792995,164.34016859,148.87839372,175.89674126,187.15735818,175.13904183,208.49897576,258.0663944,202.69553678,202.23931438
2017-04-30,177.74786474,179.52747192,175.73149822,190.49602629,165.48407976,149.99636753,177.26332383,188.1140711,175.46185354,209.89720954,259.52034338,204.15592301,204.45672498
2017-05-31,178.78174242,180.55320811,177.69627556,191.79871868,166.88194819,150.94557199,178.51769114,188.64934828,175.69398244,211.23113675,260.91359206,205.46319067,206.2714257
2017-06-30,179.84710388,181.81858164,179.04770658,193.36814664,168.47727094,151.67878144,179.86265196,188.65768067,175.88561504,212.42799806,262.11150177,206.31157795,208.35909541
2017-07-31,180.98550445,183.15228614,180.2868892,195.02804417,170.63429805,152.06527148,181.28727232,188.61221529,176.20112159,213.85797124,262.84796183,207.18404473,210.24087996
2017-08-31,182.27080549,184.4231781,181.53259083,195.7429579,172.68542816,152.44114991,182.63325124,188.61716047,176.55107747,215.49179598,262.97637888,208.41374426,211.97334057
2017-09-30,182.90001262,185.79936548,183.15508302,195.85345438,174.54038511,152.85321807,183.79842483,188.99310971,176.81103421,217.06526492,263.14813355,209.78849459,213.98599125
2017-10-31,183.56226238,187.22853919,184.87565462,196.0835014,176.54357806,153.28498424,185.05249718,189.7091947,176.90932267,218.34645384,264.44679829,210.92885668,216.11176786
2017-11-30,184.92043685,188.36628448,186.38289247,196.62987736,178.90303976,153.80726043,186.64048934,190.4955152,176.81558516,219.68959164,265.83371964,211.68819126,218.39474193
2017-12-31,186.43636942,189.68345836,187.89760829,198.00374151,181.03324944,154.54640714,188.10170393,191.30673816,176.79556463,221.16964022,267.21527528,212.43674174,220.53476628
2018-01-31,187.6603957,191.31252889,189.9841773,199.7029474,182.82724974,155.26604226,189.4895567,192.05083955,176.93800837,223.18576347,268.49806318,214.13370576,222.70584631
2018-02-28,188.99187027,193.39839736,192.57301533,201.50113865,184.84936566,156.14917269,191.1925686,192.53564025,177.12852037,224.81043018,269.78702107,216.09549145,224.94199055
2018-03-31,190.34831627,194.0624662,195.06086582,203.1775034,187.29303921,156.66665801,193.26346349,192.95207282,177.37792778,225.52163572,270.51795485,217.59030494,226.78509932
2018-04-30,191.42764345,195.28374428,197.1661945,204.6145767,189.78340858,157.50569524,195.16078524,193.56494373,177.59144168,226.55049885,270.91459511,218.37638949,228.00803103
2018-05-31,192.77589618,196.19558101,199.09886263,205.62524702,192.14569968,157.78604404,196.61989791,194.362356,177.94988544,227.57274518,271.13166312,218.95310237,228.79326083
2018-06-30,194.25793065,196.94945502,200.60670726,206.4363956,193.79550753,158.13000368,198.07806758,195.42061463,178.2605981,228.36597918,271.49170183,219.8218921,229.55373387
2018-07-31,195.14813018,197.85860839,202.66004469,207.25104812,195.14989999,158.44132441,199.34574919,196.6641192,178.53165138,228.93705003,272.36889514,220.64498948,230.27929215
2018-08-31,196.27156618,198.91656007,204.73273746,207.97755843,196.27539536,158.93409347,200.59634724,197.65678298,178.89333857,229.3099493,273.50765545,221.1726248,230.89760333
2018-09-30,197.62315165,199.9485446,206.63165502,208.89342112,197.56626338,159.63240104,201.81801914,198.35342729,179.40206618,229.58881399,274.43241432,221.77030771,231.44920424
2018-10-31,198.69924104,200.77557508,208.40694075,209.83673595,198.60499646,160.35405709,203.07286392,198.94442475,179.89873323,229.8192474,275.37497996,222.53407965,232.0095266
2018-11-30,199.48054346,201.67473308,210.23747465,210.41599054,199.09623881,160.98501805,204.27392182,199.53397931,180.29615323,229.7907724,275.86285929,223.31848844,232.31986981
2018-12-31,200.06687137,202.47753051,212.21372363,210.86485874,199.4421061,161.45507803,205.36640122,200.04684842,180.81506334,229.7893659,275.93937102,224.03854632,232.74014074
2019-01-31,200.76770255,202.91144806,213.94042568,211.09191477,200.10232994,161.81311433,206.56419974,200.46732825,181.37546809,230.59635898,275.30667232,225.08640925,233.5136924
2019-02-28,201.43019011,204.10901274,215.47467661,211.41487771,200.89924729,162.51270091,207.22825157,201.07014266,181.86919482,231.04170119,274.87874456,225.72954866,233.70870921
2019-03-31,202.34966639,203.88121793,217.36650501,211.95792008,201.27370352,163.44260825,207.6291891,201.85646207,182.37266685,230.80904437,274.67898941,225.80336386,234.07292094
2019-04-30,203.67618061,204.41407331,219.59268151,213.0915416,201.80569833,164.74410543,208.64338947,202.79065559,182.46193313,231.55359022,275.2143832,226.29270399,235.27416721
2019-05-31,204.75688493,204.97189564,221.65449966,214.19313387,202.7597257,165.22599364,209.80686402,203.7173217,182.40292452,232.19636656,276.11664055,227.07180407,236.56557405
2019-06-30,205.91018279,205.79423894,223.41875851,215.03582574,203.15076401,165.74506295,211.03713282,204.76784479,182.34889118,232.94867908,277.11310549,227.71980865,237.55998141
2019-07-31,207.36696249,206.74230301,226.53423547,215.88599951,203.52205354,166.69909228,212.18183009,205.93594191,182.53212376,233.67428783,278.03612567,228.53461544,238.51096702
2019-08-31,208.82168841,207.56601237,228.93440429,216.73274647,203.86536824,167.59729279,213.3700347,207.11465304,182.66888075,234.03950277,278.54268262,229.23953135,239.90414207
2019-09-30,209.99459741,208.21406944,230.84666437,217.94082779,204.17473948,168.26799004,214.65796725,208.23781333,182.72288087,234.47421352,278.97334917,229.81660729,241.21039656
2019-10-31,211.20102806,208.9103961,232.97522864,219.42275871,204.73803417,168.90039498,215.96521238,209.39173787,183.01612234,235.21692917,279.3507998,230.78194251,242.64661293
2019-11-30,212.77949317,209.97375056,235.10314876,221.18899551,205.68544581,169.77209105,217.43907541,210.71424067,183.3877819,236.22613106,279.60280935,232.16128068,244.23780754
2019-12-31,214.74153134,211.36535597,237.54831935,223.54944764,206.96072541,170.96185761,219.39354617,212.08844262,183.83649871,237.30203164,280.31938868,233.56166304,245.91200149
2020-01-31,216.88843583,212.4285024,239.73488415,225.42363353,208.95936025,172.27405322,221.78490758,212.99068126,184.23072009,238.62125408,281.24622881,235.12008345,248.09550153
2020-02-29,218.99090848,214.02880924,241.87930481,226.42900012,210.8941894,173.51475468,223.59340021,213.56704662,184.67692405,240.47761498,282.47142191,236.69890246,250.60381619
2020-03-31,220.83546489,214.04264502,244.02035256,226.6105397,211.42465897,174.37344965,224.75868068,213.82810231,185.37776652,241.06673058,283.03274251,237.46719095,252.47123951
2020-04-30,222.08893637,214.67114524,245.60471269,227.12596223,210.95988928,175.31934481,226.13641345,213.80055642,186.14963288,240.66836854,283.37406022,237.64677475,252.46425965
2020-05-31,223.13266723,215.19976633,247.36621307,228.16812701,211.26170953,176.16921604,227.43477376,213.65000457,187.26836521,240.43316599,283.30485525,238.02176662,252.67483496
2020-06-30,225.51728365,217.14999813,249.88288599,230.16788981,212.35539629,177.51738683,229.94888583,214.21041575,188.56028282,242.63965924,283.65745599,240.01323983,255.9775572
2020-07-31,229.20521638,220.08076826,254.98370412,233.49032331,214.51154238,179.41571123,233.80742706,215.86833012,189.97222322,245.86429447,284.95600856,243.83338335,260.47075098
2020-08-31,233.0011893,222.7556952,261.28820241,237.95849975,216.91393754,181.5982424,238.2537136,217.98177527,191.30050529,249.34688842,286.32414832,248.18487573,264.769151
2020-09-30,236.75591158,225.64148902,268.00115811,242.72114608,219.19438528,184.18424519,242.64331547,219.85848143,192.60312682,253.15021758,287.48911514,252.26073698,268.98776862
2020-10-31,240.45532987,228.56578723,274.97109592,247.42562485,222.10276236,186.87312605,247.10613242,221.40278565,194.33437872,256.85512037,288.55531291,255.96753486,273.16030708
2020-11-30,243.9276362,231.15318459,282.50368348,252.12640218,225.88173022,189.18106779,251.38129818,222.7847341,196.07307206,260.0420837,290.00271232,259.26683699,277.22550555
2020-12-31,247.57177052,233.97028752,290.80417825,256.90834137,229.1687167,191.06611167,255.77679404,224.94394827,197.63920215,262.87778141,292.03615133,262.3127159,281.10940536
2021-01-31,252.38986394,237.10655635,297.89888344,261.43919176,232.09986348,193.07481121,261.25607494,228.01830806,198.43912887,265.93440484,294.53059652,265.99816985,284.78338053
2021-02-28,258.27849811,241.48524712,304.40284729,266.01684829,235.3112231,195.40206366,267.36305504,231.77755741,198.58058998,269.93703116,297.71136931,270.6392176,289.24456634
2021-03-31,264.22137436,245.40004595,311.39284122,270.48798352,238.73499954,197.47639858,273.67639211,235.88471511,198.8658027,274.28894679,300.66659911,275.35471876,294.29145431
2021-04-30,270.343521,249.654949,318.367334,275.129157,242.123363,199.714681,280.106252,239.919108,199.079484,278.564135,303.782371,280.155699,299.163879
